id,city,state,latitude,longitude
1329223,Addison,TX,32.9617900,-96.8291685
1560245,Addison,WV,38.8834134,-82.1318111
1515727,Addy,WA,48.3560098,-117.8374738
2607165,Addy Mountain,WA,48.4531841,-117.8744113
1064299,Addyston,OH,39.1367249,-84.7091140
354262,Adel,GA,31.1371358,-83.4234936
454097,Adel,IA,41.6144325,-94.0174530
1100164,Adel,OK,34.5792660,-95.5944218
1116775,Adel,OR,42.1773880,-119.8985576
1660231,Adelaida,CA,35.6455257,-120.8735141
848206,Adelaide,NV,40.8165709,-117.5256781
1660232,Adelanto,CA,34.5827699,-117.4092150
1377918,Adell,TX,32.8845696,-97.9222597
874260,Adelphia,NJ,40.2181677,-74.2562566
877302,Adelphia,NJ,40.1409472,-74.2665342
899858,Aden Crater,NM,32.1242622,-107.0630666
182997,Adena,CO,40.0083181,-103.8866162
256119,Adin,CA,41.1937800,-120.9452450
1609483,Adjuntas,PR,18.1627363,-66.7221187
1611273,Adjuntas,PR,18.1588477,-66.6496175
1610960,Adjuntas,PR,18.1349599,-66.6290618
1610878,Adjuntas,PR,18.2460659,-66.7382301
1377919,Admiral,TX,32.2965198,-99.2978494
477042,Admire,KS,38.6411197,-96.1030491
1502945,Adna,WA,46.6289921,-123.0612431
1161693,Adobe Flat,OR,43.2465449,-118.5777001
1666873,Adobe Mountain,CA,34.6833214,-117.6872816
2034918,Adobes,TX,29.7593401,-104.5535373
660626,Adolph,MN,46.7785527,-92.2801911
1553697,Adolph,WV,38.7445518,-80.0456285
485782,Adolphus,KY,36.6517098,-86.2613779
1315612,Adolphus,TN,36.6353202,-86.3627691
1597690,Adon,WY,44.5183154,-105.2330447
66223,Adona,AR,35.1248081,-92.9440592
45796,Adona,AR,35.0381433,-92.8979475
310411,Adrian,GA,32.5307224,-82.5892995
332368,Adrian,GA,32.6187751,-82.5567985
619846,Adrian,MI,41.8975471,-84.0371659
639217,Adrian,MN,43.6349663,-95.9327970
713161,Adrian,MO,38.3975180,-94.3516159
713374,Adrian,MO,38.4816813,-94.3543929
1033624,Adrian,ND,46.5999784,-98.5534280
1135989,Adrian,OR,43.7407155,-117.0718261
1244852,Adrian,SC,33.9468366,-79.0175346
1350899,Adrian,TX,35.2747775,-102.6652114
1553699,Adrian,WV,38.9053777,-80.2756384
740278,Advance,MO,37.0675514,-89.9787062
713163,Advance,MO,37.1044958,-89.9106494
1018774,Advance,NC,35.9412482,-80.4092217
1005527,Advance,NC,35.9923590,-80.3767205
1379323,Ady,TX,35.4856041,-102.1324141
1515736,Aeneas,WA,48.5473813,-118.9786447
484524,Aetna,KS,37.0839169,-98.9628777
1659686,Aetna Springs,CA,38.6535160,-122.4827579
546955,Afeman,LA,31.1026860,-92.8184833
554088,Afeman,LA,31.1090746,-92.8684852
1894162,Afognak A-2,AK,58.1083333,-152.5500000
1865543,Afognak A-3,AK,58.0600000,-152.9097222
1408227,Afognak A-4,AK,58.0491667,-153.0525000
1408228,Afognak B-2,AK,58.4922222,-152.5827778
1404310,Afognak C-6,AK,58.5680556,-153.8983333
454101,Afton,IA,41.0274907,-94.1980083
